"","day","month","year","flow","hyear","baseflow","date"
"1077",29,5,1995,0.000115328719723183,1995,NA,1995-05-29
"1078",30,5,1995,0.000114844290657439,1995,NA,1995-05-30
"1079",31,5,1995,0.000114359861591696,1995,NA,1995-05-31
"1080",1,6,1995,0.000113875432525952,1995,NA,1995-06-01
"1081",2,6,1995,0.000113391003460208,1995,NA,1995-06-02
"1082",3,6,1995,0.000112906574394464,1995,NA,1995-06-03
"1083",4,6,1995,0.00011242214532872,1995,NA,1995-06-04
"1084",5,6,1995,0.000111937716262976,1995,NA,1995-06-05
"1085",6,6,1995,0.000111453287197232,1995,NA,1995-06-06
"1086",7,6,1995,0.000110968858131488,1995,NA,1995-06-07
"1087",8,6,1995,0.000110484429065744,1995,NA,1995-06-08
"1088",9,6,1995,0.00011,1995,0.00011,1995-06-09
"1089",10,6,1995,0.00017,1995,0.000121273291925466,1995-06-10
"1090",11,6,1995,0.00193,1995,0.000120248447204969,1995-06-11
"1091",12,6,1995,0.00375,1995,0.000119223602484472,1995-06-12
"1092",13,6,1995,0.00135,1995,0.000118198757763975,1995-06-13
"1093",14,6,1995,0.00122,1995,0.000117173913043478,1995-06-14
"1094",15,6,1995,0.00076,1995,0.000116149068322981,1995-06-15
"1095",16,6,1995,0.00039,1995,0.000115124223602484,1995-06-16
"1096",17,6,1995,0.00587,1995,0.000114099378881988,1995-06-17
"1097",18,6,1995,0.00225,1995,0.000113074534161491,1995-06-18
"1098",19,6,1995,0.00027,1995,0.000112049689440994,1995-06-19
"1099",20,6,1995,0.00017,1995,0.000111024844720497,1995-06-20
"1100",21,6,1995,0.00011,1995,0.00011,1995-06-21
"1101",22,6,1995,0.00011,1995,0.00011,1995-06-22
"1102",23,6,1995,0.00011,1995,0.00011,1995-06-23
"1103",24,6,1995,0.00039,1995,0.0001292,1995-06-24
"1104",25,6,1995,0.00303,1995,0.0001388,1995-06-25
"1105",26,6,1995,0.00322,1995,0.0001484,1995-06-26
"1106",27,6,1995,0.00193,1995,0.000158,1995-06-27
"1107",28,6,1995,0.00141,1995,0.0001676,1995-06-28
"1108",29,6,1995,0.0011,1995,0.0001772,1995-06-29
"1109",30,6,1995,0.00057,1995,0.0001868,1995-06-30
"1110",1,7,1995,0.00048,1995,0.0001964,1995-07-01
"1111",2,7,1995,0.01041,1995,0.000206,1995-07-02
"1112",3,7,1995,0.00346,1995,0.0002156,1995-07-03
"1113",4,7,1995,0.00225,1995,0.0002252,1995-07-04
"1114",5,7,1995,0.00149,1995,0.0002348,1995-07-05
"1115",6,7,1995,0.00149,1995,0.0002444,1995-07-06
"1116",7,7,1995,7e-04,1995,0.000254,1995-07-07
"1117",8,7,1995,5e-04,1995,0.0002636,1995-07-08
"1118",9,7,1995,0.00059,1995,0.0002732,1995-07-09
"1119",10,7,1995,0.00066,1995,0.0002828,1995-07-10
"1120",11,7,1995,0.00273,1995,0.0002924,1995-07-11
"1121",12,7,1995,0.00193,1995,0.000302,1995-07-12
"1122",13,7,1995,0.00122,1995,0.0003116,1995-07-13
"1123",14,7,1995,0.00081,1995,0.0003212,1995-07-14
"1124",15,7,1995,0.00043,1995,0.0003308,1995-07-15
"1125",16,7,1995,0.00043,1995,0.0003404,1995-07-16
"1126",17,7,1995,0.00035,1995,0.00035,1995-07-17
"1127",18,7,1995,0.00081,1995,0.000340833333333333,1995-07-18
"1128",19,7,1995,0.00135,1995,0.000331666666666667,1995-07-19
"1129",20,7,1995,0.01147,1995,0.0003225,1995-07-20
"1130",21,7,1995,0.01111,1995,0.000313333333333333,1995-07-21
"1131",22,7,1995,0.00441,1995,0.000304166666666667,1995-07-22
"1132",23,7,1995,0.00208,1995,0.000295,1995-07-23
"1133",24,7,1995,0.00157,1995,0.000285833333333333,1995-07-24
"1134",25,7,1995,0.00143,1995,0.000276666666666667,1995-07-25
"1135",26,7,1995,0.00062,1995,0.0002675,1995-07-26
