Date,Si,site.name
5/11/2000,1.577000825,ALBION
5/18/2000,1.667436135,ALBION
5/25/2000,1.5053828,ALBION
5/25/2000,1.520268115,ALBION
6/1/2000,1.63906978,ALBION
6/8/2000,1.261881515,ALBION
6/15/2000,1.33012928,ALBION
6/22/2000,1.287158465,ALBION
6/29/2000,1.12791368,ALBION
7/6/2000,1.04758915,ALBION
7/13/2000,1.028210155,ALBION
7/20/2000,0.99310328,ALBION
7/27/2000,0.960243245,ALBION
8/10/2000,0.888344365,ALBION
8/24/2000,0.82515199,ALBION
9/7/2000,0.74089549,ALBION
9/21/2000,0.785551435,ALBION
10/5/2000,0.71786538,ALBION
10/19/2000,0.76280218,ALBION
10/26/2000,0.849586375,ALBION
11/16/2000,0.871493065,ALBION
12/7/2000,0.975409415,ALBION
12/21/2000,1.005741755,ALBION
1/23/2001,0.82739883,ALBION
2/6/2001,0.761397905,ALBION
3/1/2001,0.7077546,ALBION
3/15/2001,0.77235125,ALBION
4/10/2001,0.847901245,ALBION
4/24/2001,1.12398171,ALBION
4/28/2001,1.06500216,ALBION
5/3/2001,1.04646573,ALBION
5/10/2001,1.59975008,ALBION
5/17/2001,1.50706793,ALBION
5/24/2001,1.724168845,ALBION
5/31/2001,1.56997945,ALBION
6/7/2001,1.420283735,ALBION
6/14/2001,1.1121858,ALBION
6/21/2001,1.010797145,ALBION
6/28/2001,0.956311275,ALBION
7/5/2001,0.923732095,ALBION
7/12/2001,0.950132465,ALBION
7/19/2001,0.954064435,ALBION
7/26/2001,0.965860345,ALBION
8/2/2001,1.012482275,ALBION
8/9/2001,1.123139145,ALBION
8/16/2001,1.040006065,ALBION
8/23/2001,1.057419075,ALBION
8/30/2001,1.03523153,ALBION
9/6/2001,1.07005755,ALBION
9/13/2001,1.2189107,ALBION
9/25/2001,1.19588059,ALBION
10/2/2001,1.165829105,ALBION
10/9/2001,1.466343955,ALBION
10/16/2001,1.446684105,ALBION
10/23/2001,1.90307348,ALBION
11/8/2001,1.400062175,ALBION
11/20/2001,1.54189395,ALBION
12/4/2001,1.446122395,ALBION
1/8/2002,1.495552875,ALBION
2/7/2002,1.569136885,ALBION
2/28/2002,1.716304905,ALBION
3/28/2002,1.68175974,ALBION
4/16/2002,1.76994821,ALBION
5/2/2002,1.86656233,ALBION
5/6/2002,1.84353222,ALBION
5/10/2002,1.907848015,ALBION
5/17/2002,1.89633296,ALBION
5/23/2002,1.91318426,ALBION
5/30/2002,1.883694485,ALBION
6/5/2002,1.92217162,ALBION
6/6/2002,1.906162885,ALBION
6/13/2002,1.8367917,ALBION
6/20/2002,1.81657014,ALBION
6/27/2002,1.759556575,ALBION
7/4/2002,1.695521635,ALBION
7/11/2002,1.684287435,ALBION
7/18/2002,1.516336145,ALBION
7/25/2002,1.39191738,ALBION
8/1/2002,1.06387874,ALBION
8/8/2002,0.80605385,ALBION
8/15/2002,0.4212825,ALBION
8/22/2002,0.37803083,ALBION
8/29/2002,0.47689179,ALBION
9/7/2002,0.538399035,ALBION
9/12/2002,0.880480425,ALBION
9/25/2002,0.96164752,ALBION
10/21/2002,1.20655308,ALBION
11/5/2002,1.295584115,ALBION
11/26/2002,1.5334683,ALBION
12/12/2002,1.532625735,ALBION
12/20/2002,1.50762964,ALBION
1/10/2003,1.48796979,ALBION
1/24/2003,1.49021663,ALBION
3/12/2003,1.614073685,ALBION
4/22/2003,3.77862317,ALBION
5/5/2003,3.294710005,ALBION
5/27/2003,2.072990755,ALBION
6/5/2003,2.408893335,ALBION
6/12/2003,2.22493331,ALBION
6/19/2003,1.56436235,ALBION
6/26/2003,1.57054116,ALBION
7/3/2003,1.35821478,ALBION
7/10/2003,1.194476315,ALBION
7/15/2003,1.07118097,ALBION
7/24/2003,0.95153674,ALBION
7/31/2003,0.987767035,ALBION
8/7/2003,0.99759696,ALBION
8/14/2003,1.06837242,ALBION
8/21/2003,1.065283015,ALBION
8/28/2003,1.086627995,ALBION
9/4/2003,1.042252905,ALBION
9/11/2003,1.11050067,ALBION
9/18/2003,1.1065687,ALBION
9/25/2003,1.059104205,ALBION
10/2/2003,1.011920565,ALBION
10/9/2003,0.96951146,ALBION
10/23/2003,0.991137295,ALBION
10/30/2003,1.351755115,ALBION
12/11/2003,1.044499745,ALBION
12/30/2003,1.041129485,ALBION
2/12/2004,0.93580886,ALBION
3/5/2004,0.929349195,ALBION
3/26/2004,1.16105457,ALBION
4/8/2004,1.04646573,ALBION
4/28/2004,1.47617388,ALBION
5/11/2004,1.54582592,ALBION
5/20/2004,1.482633545,ALBION
5/27/2004,1.707317545,ALBION
6/3/2004,1.826400065,ALBION
6/10/2004,1.50145083,ALBION
6/17/2004,1.180433565,ALBION
6/24/2004,1.20655308,ALBION
7/1/2004,0.9998438,ALBION
7/8/2004,1.078202345,ALBION
7/15/2004,0.912497895,ALBION
7/22/2004,0.9717583,ALBION
7/29/2004,0.91277875,ALBION
8/5/2004,0.850148085,ALBION
8/12/2004,0.93524715,ALBION
8/19/2004,1.00040551,ALBION
8/26/2004,1.00040551,ALBION
9/2/2004,0.882727265,ALBION
9/9/2004,0.910251055,ALBION
9/16/2004,0.987205325,ALBION
9/23/2004,0.807458125,ALBION
9/30/2004,0.900701985,ALBION
10/7/2004,0.991699005,ALBION
10/14/2004,0.95041332,ALBION
10/21/2004,1.133249925,ALBION
11/11/2004,1.276485975,ALBION
11/25/2004,1.28294564,ALBION
12/29/2004,1.39809619,ALBION
1/6/2005,1.360180765,ALBION
2/10/2005,1.476454735,ALBION
3/17/2005,1.238851405,ALBION
4/5/2005,1.10488357,ALBION
5/6/2005,1.513527595,ALBION
5/17/2005,1.53178317,ALBION
5/26/2005,1.557902685,ALBION
6/3/2005,1.610703425,ALBION
6/9/2005,1.68962368,ALBION
6/16/2005,1.56099209,ALBION
6/23/2005,1.25148988,ALBION
6/30/2005,1.261881515,ALBION
7/7/2005,1.21104676,ALBION
7/14/2005,1.164143975,ALBION
7/21/2005,1.065844725,ALBION
7/28/2005,1.028210155,ALBION
8/4/2005,1.10319844,ALBION
8/11/2005,1.09814305,ALBION
8/18/2005,1.16779509,ALBION
8/25/2005,1.188859215,ALBION
9/1/2005,1.14083301,ALBION
9/8/2005,1.02680588,ALBION
9/15/2005,1.077640635,ALBION
9/22/2005,1.11667948,ALBION
9/29/2005,1.17060364,ALBION
10/6/2005,1.49021663,ALBION
10/13/2005,0.99928209,ALBION
10/20/2005,1.16779509,ALBION
11/3/2005,1.7132155,ALBION
11/10/2005,1.199531705,ALBION
11/24/2005,1.22396609,ALBION
12/27/2005,1.14757353,ALBION
1/6/2006,1.282103075,ALBION
1/27/2006,1.34529545,ALBION
3/3/2006,1.30766088,ALBION
3/24/2006,1.29249471,ALBION
4/7/2006,1.334342105,ALBION
4/28/2006,1.669121265,ALBION
5/23/2006,1.601716065,ALBION
6/1/2006,1.712934645,ALBION
6/8/2006,1.666874425,ALBION
6/16/2006,1.30429062,ALBION
6/22/2006,1.180433565,ALBION
6/29/2006,1.082134315,ALBION
7/6/2006,1.024278185,ALBION
7/13/2006,1.105164425,ALBION
7/20/2006,1.056295655,ALBION
7/27/2006,1.15487576,ALBION
8/3/2006,1.17678245,ALBION
8/10/2006,0.9998438,ALBION
8/17/2006,1.002371495,ALBION
8/24/2006,1.13970959,ALBION
8/31/2006,1.065844725,ALBION
9/7/2006,1.057980785,ALBION
9/14/2006,1.143360705,ALBION
9/26/2006,1.29979694,ALBION
10/5/2006,1.21610215,ALBION
10/19/2006,1.33911664,ALBION
11/16/2006,1.303448055,ALBION
12/6/2006,1.265813485,ALBION
12/28/2006,1.32788244,ALBION
1/4/2007,1.383137853,ALBION
1/16/2007,1.223123525,ALBION
2/9/2007,1.462723734,ALBION
2/27/2007,1.425282954,ALBION
3/13/2007,1.506652265,ALBION
4/3/2007,1.555116603,ALBION
5/3/2007,1.83477797,ALBION
5/22/2007,2.293329928,ALBION
5/31/2007,2.332242388,ALBION
6/7/2007,2.671459057,ALBION
6/14/2007,2.30167413,ALBION
6/21/2007,2.259708776,ALBION
6/28/2007,2.214305757,ALBION
7/5/2007,1.398876967,ALBION
7/12/2007,1.304596752,ALBION
7/19/2007,1.261713002,ALBION
7/26/2007,1.233074218,ALBION
8/2/2007,1.148654822,ALBION
8/9/2007,1.132997156,ALBION
8/16/2007,1.104445436,ALBION
8/23/2007,1.114042252,ALBION
8/30/2007,1.156631104,ALBION
9/7/2007,1.131665903,ALBION
9/13/2007,1.071602253,ALBION
9/20/2007,1.040056619,ALBION
9/27/2007,1.229226504,ALBION
10/4/2007,1.259477396,ALBION
10/11/2007,1.362764631,ALBION
10/18/2007,1.030653594,ALBION
11/7/2007,1.614357349,ALBION
12/11/2007,1.191569466,ALBION
12/19/2007,1.172283153,ALBION
2/12/2008,1.293502979,ALBION
4/15/2008,1.373908957,ALBION
5/16/2008,1.439884605,ALBION
6/19/2008,1.939239178,ALBION
6/26/2008,1.971251031,ALBION
7/3/2008,1.389204321,ALBION
7/10/2008,1.207159727,ALBION
7/17/2008,1.149477727,ALBION
7/24/2008,1.03453501,ALBION
7/31/2008,1.000739727,ALBION
8/7/2008,0.977785448,ALBION
8/14/2008,0.840506333,ALBION
8/21/2008,0.742364362,ALBION
8/28/2008,0.75025077,ALBION
9/4/2008,0.731981152,ALBION
9/18/2008,1.013232158,ALBION
10/3/2008,0.740530379,ALBION
10/16/2008,0.807306463,ALBION
10/30/2008,1.692190695,ALBION
11/19/2008,1.01388655,ALBION
12/17/2008,0.945110778,ALBION
1/14/2009,0.954982831,ALBION
2/20/2009,0.962445148,ALBION
3/12/2009,0.983284589,ALBION
4/7/2009,0.991755176,ALBION
4/30/2009,1.373394993,ALBION
5/18/2009,1.867857072,ALBION
5/28/2009,2.006110754,ALBION
6/4/2009,2.049210762,ALBION
6/11/2009,2.05752407,ALBION
6/18/2009,2.143962814,ALBION
6/25/2009,2.129642017,ALBION
7/2/2009,1.374953738,ALBION
7/9/2009,1.282243503,ALBION
7/16/2009,1.185814747,ALBION
7/23/2009,1.09326179,ALBION
7/30/2009,1.16928643,ALBION
8/6/2009,1.072057238,ALBION
8/13/2009,1.022306583,ALBION
8/20/2009,0.967778585,ALBION
8/27/2009,0.920019192,ALBION
9/3/2009,0.870793736,ALBION
9/10/2009,0.788859907,ALBION
9/17/2009,0.784762232,ALBION
9/24/2009,0.870142152,ALBION
10/8/2009,1.038980944,ALBION
10/21/2009,1.084979376,ALBION
11/12/2009,1.000981263,ALBION
12/15/2009,0.912424873,ALBION
1/12/2010,0.987531117,ALBION
1/26/2010,1.041438426,ALBION
2/24/2010,1.108658261,ALBION
3/12/2010,1.084358687,ALBION
4/26/2010,1.41866601,ALBION
5/6/2010,1.398596112,ALBION
5/20/2010,1.658698736,ALBION
5/27/2010,1.898661248,ALBION
6/3/2010,2.168815672,ALBION
6/10/2010,2.105555892,ALBION
6/17/2010,1.303074518,ALBION
6/24/2010,1.175268642,ALBION
7/1/2010,1.109141332,ALBION
7/8/2010,1.128879821,ALBION
7/15/2010,0.98398111,ALBION
7/23/2010,0.982017933,ALBION
7/29/2010,0.941041189,ALBION
8/5/2010,0.832940099,ALBION
8/12/2010,0.820079749,ALBION
8/19/2010,0.815260277,ALBION
8/26/2010,0.851748959,ALBION
9/2/2010,0.840941658,ALBION
9/16/2010,0.84703902,ALBION
9/24/2010,0.80529835,ALBION
10/7/2010,0.723471246,ALBION
12/14/2010,0.722693277,ALBION
12/28/2010,0.711888786,ALBION
