"","site.name","LTER","year","slope","pvalue","n","sig","sig_slopes","mblm_slope","mblm_intercept","mblm_pvalue","mblm_sig","mblm_n"
"57","Green Creek at F9","MCM",2009,-3.87506706552928,0.00361296245719159,11,"sig",-3.87506706552928,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"58","Green Creek at F9","MCM",2012,-3.62870970850493,0.0424906692283924,6,"sig",-3.62870970850493,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"59","Green Creek at F9","MCM",2014,-4.10925485612069,0.0666813221395895,6,"sig",-4.10925485612069,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"60","Green Creek at F9","MCM",2015,-4.94455371727199,0.00149622890742835,9,"sig",-4.94455371727199,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"61","Green Creek at F9","MCM",2016,-4.57035253699185,0.00726894852317928,7,"sig",-4.57035253699185,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"62","Green Creek at F9","MCM",2017,-6.18574177815691,0.00314197748850928,7,"sig",-6.18574177815691,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"63","Green Creek at F9","MCM",2019,-6.36859196043344,0.00528983103117099,5,"sig",-6.36859196043344,-0.189143746582546,377.420234190265,0.0008544921875,"sig",15
"64","GSMACK","AND",1996,-5.98276996253503,0.000374171013766141,16,"sig",-5.98276996253503,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"65","GSMACK","AND",1997,-5.57681350814472,0.000320406645894137,18,"sig",-5.57681350814472,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"66","GSMACK","AND",1998,-7.91376628005175,1.20705560581693e-09,19,"sig",-7.91376628005175,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"67","GSMACK","AND",1999,-5.76976211785894,3.26839956050063e-05,17,"sig",-5.76976211785894,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
"68","GSMACK","AND",2000,-8.07009277568563,5.63101285609976e-10,19,"sig",-8.07009277568563,0.0123352007286648,-32.4095625169884,0.916847467422485,"not sig",23
